tag,t,label,occupancy,top_row,spread,head_mm,dist_mm,slump,recline,drowsy,nod_rate,phi,delta
,1746.493,BASELINE,0.5785,0.0000,1.0000,302.4,0.0,0.000,0.000,0.000,3.50,0.000,0.000
,1746.498,UPRIGHT,0.5785,0.0000,1.0000,302.4,-9.8,0.000,0.000,0.292,3.50,0.752,0.248
,1746.507,UPRIGHT,0.5785,0.0000,1.0000,302.4,-9.8,0.000,0.000,0.292,3.50,0.752,0.248
,1746.511,UPRIGHT,0.5838,0.0000,1.0000,283.5,-9.8,0.000,0.000,0.292,3.50,0.630,0.248
,1746.516,UPRIGHT,0.5838,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.292,3.50,0.752,0.248
,1746.520,UPRIGHT,0.5838,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.292,3.50,0.752,0.248
,1746.525,UPRIGHT,0.5838,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.292,3.50,0.752,0.248
,1746.530,UPRIGHT,0.5838,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.291,3.50,0.752,0.248
,1746.538,UPRIGHT,0.5838,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.291,3.50,0.752,0.248
,1746.543,UPRIGHT,0.5838,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.291,3.49,0.752,0.248
,1746.553,UPRIGHT,0.5838,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.291,3.49,0.753,0.247
,1746.558,UPRIGHT,0.5838,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.291,3.49,0.753,0.247
,1746.563,UPRIGHT,0.5838,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.291,3.49,0.753,0.247
,1746.567,UPRIGHT,0.5838,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.291,3.49,0.753,0.247
,1746.584,UPRIGHT,0.5802,0.0000,1.0000,283.5,-14.3,0.000,0.000,0.291,3.49,0.631,0.247
,1746.589,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.290,3.49,0.753,0.247
,1746.593,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.290,3.48,0.753,0.247
,1746.598,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.290,3.48,0.753,0.247
,1746.602,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.290,3.48,0.753,0.247
,1746.615,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.290,3.48,0.753,0.247
,1746.620,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.290,3.48,0.754,0.246
,1746.624,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.290,3.48,0.754,0.246
,1746.631,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.290,3.48,0.754,0.246
,1746.635,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.290,3.48,0.754,0.246
,1746.640,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.290,3.47,0.754,0.246
,1746.645,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.290,3.47,0.754,0.246
,1746.662,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.289,3.47,0.754,0.246
,1746.667,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.289,3.47,0.754,0.246
,1746.672,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.289,3.47,0.754,0.246
,1746.677,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.289,3.47,0.754,0.246
,1746.682,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.289,3.47,0.754,0.246
,1746.687,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.289,3.47,0.755,0.245
,1746.694,UPRIGHT,0.5802,0.0000,1.0000,283.5,-18.9,0.000,0.000,0.289,3.46,0.755,0.245
,1746.698,UPRIGHT,0.5974,0.0000,1.0000,252.0,-18.9,0.000,0.000,0.289,3.46,0.372,0.245
,1746.709,UPRIGHT,0.5974,0.0000,1.0000,252.0,-18.9,0.000,0.000,0.288,3.46,0.755,0.245
,1746.714,UPRIGHT,0.5974,0.0000,1.0000,252.0,-18.9,0.000,0.000,0.288,3.46,0.755,0.245
,1746.718,UPRIGHT,0.5974,0.0000,1.0000,252.0,-18.9,0.000,0.000,0.288,3.46,0.755,0.245
,1746.723,UPRIGHT,0.5974,0.0000,1.0000,252.0,-18.9,0.000,0.000,0.288,3.46,0.755,0.245
,1746.727,UPRIGHT,0.5974,0.0000,1.0000,252.0,-18.9,0.000,0.000,0.288,3.46,0.755,0.245
,1746.731,UPRIGHT,0.5974,0.0000,1.0000,252.0,-18.9,0.000,0.000,0.288,3.46,0.755,0.245
,1746.735,UPRIGHT,0.5974,0.0000,1.0000,252.0,-18.9,0.000,0.000,0.288,3.46,0.755,0.245
,1746.740,UPRIGHT,0.5974,0.0000,1.0000,252.0,-18.9,0.000,0.000,0.288,3.46,0.755,0.245
